2025-12-08 07:32:44 [INFO] [__main__:167] ================================================================================
2025-12-08 07:32:44 [INFO] [__main__:168] STAGE 4: SCALED VIDEO FEATURE EXTRACTION
2025-12-08 07:32:44 [INFO] [__main__:169] ================================================================================
2025-12-08 07:32:44 [INFO] [__main__:170] Project root: /gpfs/accounts/si670f25_class_root/si670f25_class/santoshd/fvc
2025-12-08 07:32:44 [INFO] [__main__:171] Scaled metadata: /gpfs/accounts/si670f25_class_root/si670f25_class/santoshd/fvc/data/scaled_videos/scaled_metadata.arrow
2025-12-08 07:32:44 [INFO] [__main__:172] Output directory: /gpfs/accounts/si670f25_class_root/si670f25_class/santoshd/fvc/data/features_stage4
2025-12-08 07:32:44 [INFO] [__main__:176] Frame sampling: Adaptive (10.0% of frames, min=5, max=50)
2025-12-08 07:32:44 [INFO] [__main__:179] Video range: [0, 811)
2025-12-08 07:32:44 [INFO] [__main__:182] Delete existing: False
2025-12-08 07:32:44 [INFO] [__main__:183] Resume mode: True
2025-12-08 07:32:44 [INFO] [__main__:184] Execution order: forward
2025-12-08 07:32:44 [INFO] [__main__:185] Log file: /gpfs/accounts/si670f25_class_root/si670f25_class/santoshd/fvc/logs/stage4_scaled_features_1765197164.log
2025-12-08 07:32:44 [DEBUG] [__main__:186] Python version: 3.11.7 (main, Dec 15 2023, 18:12:31) [GCC 11.2.0]
2025-12-08 07:32:44 [DEBUG] [__main__:187] Python executable: /gpfs/accounts/si670f25_class_root/si670f25_class/santoshd/fvc/venv/bin/python
2025-12-08 07:32:44 [DEBUG] [__main__:188] Working directory: /gpfs/accounts/si670f25_class_root/si670f25_class/santoshd/fvc
2025-12-08 07:32:44 [DEBUG] [__main__:189] Command line arguments: ['/gpfs/accounts/si670f25_class_root/si670f25_class/santoshd/fvc/src/scripts/run_stage4_scaled_features.py', '--project-root', '/gpfs/accounts/si670f25_class_root/si670f25_class/santoshd/fvc', '--scaled-metadata', '/gpfs/accounts/si670f25_class_root/si670f25_class/santoshd/fvc/data/scaled_videos/scaled_metadata.arrow', '--output-dir', 'data/features_stage4', '--start-idx', '0', '--end-idx', '811', '--execution-order', 'forward', '--resume']
2025-12-08 07:32:44 [INFO] [__main__:192] ================================================================================
2025-12-08 07:32:44 [INFO] [__main__:193] Checking prerequisites...
2025-12-08 07:32:44 [INFO] [__main__:194] ================================================================================
2025-12-08 07:32:44 [INFO] [__main__:200] ✓ Scaled metadata file found: /gpfs/accounts/si670f25_class_root/si670f25_class/santoshd/fvc/data/scaled_videos/scaled_metadata.arrow
2025-12-08 07:32:44 [DEBUG] [__main__:205] System information:
2025-12-08 07:32:44 [DEBUG] [__main__:206]   CPU count: 40
2025-12-08 07:32:44 [DEBUG] [__main__:207]   Total memory: 200.64 GB
2025-12-08 07:32:44 [DEBUG] [__main__:208]   Available memory: 191.93 GB
2025-12-08 07:32:44 [INFO] [__main__:213] ================================================================================
2025-12-08 07:32:44 [INFO] [__main__:214] Initial memory statistics:
2025-12-08 07:32:44 [INFO] [__main__:215] ================================================================================
2025-12-08 07:32:44 [INFO] [lib.utils.memory:89] Memory stats (Stage 4: before scaled feature extraction): {'cpu_memory_mb': 536.296875, 'cpu_memory_gb': 0.5237274169921875, 'cpu_vms_mb': 5239.15234375, 'gpu_allocated_gb': 0.0, 'gpu_reserved_gb': 0.0, 'gpu_total_gb': 16.928342016, 'gpu_free_gb': 16.928342016}
2025-12-08 07:32:44 [DEBUG] [lib.utils.memory:95] CPU percent: 0.0%
2025-12-08 07:32:44 [DEBUG] [lib.utils.memory:96] Num threads: 4
2025-12-08 07:32:44 [INFO] [__main__:219] ================================================================================
2025-12-08 07:32:44 [INFO] [__main__:220] Starting Stage 4: Scaled Video Feature Extraction
2025-12-08 07:32:44 [INFO] [__main__:221] ================================================================================
2025-12-08 07:32:44 [INFO] [__main__:222] This may take a while depending on dataset size...
2025-12-08 07:32:44 [INFO] [__main__:223] Progress will be logged in real-time
2025-12-08 07:32:44 [INFO] [__main__:224] ================================================================================
2025-12-08 07:32:44 [INFO] [lib.features.scaled:201] Stage 4: Loading scaled metadata...
2025-12-08 07:32:44 [INFO] [lib.features.scaled:233] Stage 4: Processing video range [0, 811) of 2432 total videos
2025-12-08 07:32:44 [INFO] [lib.features.scaled:242] Stage 4: Processing 811 scaled videos in this range
2025-12-08 07:32:44 [INFO] [lib.features.scaled:258] Stage 4: No existing metadata found or metadata is empty, starting fresh
2025-12-08 07:32:44 [INFO] [lib.features.scaled:290] Stage 4: Processing videos in FORWARD order (from start to end)
2025-12-08 07:32:45 [DEBUG] [lib.features.scaled:79] Adaptive sampling: 743 total frames -> 50 frames (10.0%, bounded [5, 50])
2025-12-08 07:32:55 [DEBUG] [lib.features.scaled:79] Adaptive sampling: 7478 total frames -> 50 frames (10.0%, bounded [5, 50])
2025-12-08 07:33:05 [DEBUG] [lib.features.scaled:79] Adaptive sampling: 2816 total frames -> 50 frames (10.0%, bounded [5, 50])
2025-12-08 07:33:13 [DEBUG] [lib.features.scaled:79] Adaptive sampling: 768 total frames -> 50 frames (10.0%, bounded [5, 50])
2025-12-08 07:33:21 [DEBUG] [lib.features.scaled:79] Adaptive sampling: 782 total frames -> 50 frames (10.0%, bounded [5, 50])
2025-12-08 07:33:29 [DEBUG] [lib.features.scaled:79] Adaptive sampling: 2517 total frames -> 50 frames (10.0%, bounded [5, 50])
2025-12-08 07:33:38 [DEBUG] [lib.features.scaled:79] Adaptive sampling: 4784 total frames -> 50 frames (10.0%, bounded [5, 50])
2025-12-08 07:33:47 [DEBUG] [lib.features.scaled:79] Adaptive sampling: 921 total frames -> 50 frames (10.0%, bounded [5, 50])
2025-12-08 07:33:55 [DEBUG] [lib.features.scaled:79] Adaptive sampling: 861 total frames -> 50 frames (10.0%, bounded [5, 50])
2025-12-08 07:34:03 [INFO] [lib.utils.memory:89] Memory stats (Stage 4: processing video 10/811 (index 9)): {'cpu_memory_mb': 564.7109375, 'cpu_memory_gb': 0.5514755249023438, 'cpu_vms_mb': 10568.38671875, 'gpu_allocated_gb': 0.0, 'gpu_reserved_gb': 0.0, 'gpu_total_gb': 16.928342016, 'gpu_free_gb': 16.928342016}
2025-12-08 07:34:03 [DEBUG] [lib.features.scaled:79] Adaptive sampling: 1502 total frames -> 50 frames (10.0%, bounded [5, 50])
2025-12-08 07:34:11 [DEBUG] [lib.features.scaled:79] Adaptive sampling: 2407 total frames -> 50 frames (10.0%, bounded [5, 50])
2025-12-08 07:34:19 [DEBUG] [lib.features.scaled:79] Adaptive sampling: 913 total frames -> 50 frames (10.0%, bounded [5, 50])
2025-12-08 07:34:27 [DEBUG] [lib.features.scaled:79] Adaptive sampling: 1750 total frames -> 50 frames (10.0%, bounded [5, 50])
2025-12-08 07:34:35 [DEBUG] [lib.features.scaled:79] Adaptive sampling: 451 total frames -> 45 frames (10.0%, bounded [5, 50])
2025-12-08 07:34:42 [DEBUG] [lib.features.scaled:79] Adaptive sampling: 2768 total frames -> 50 frames (10.0%, bounded [5, 50])
2025-12-08 07:34:51 [DEBUG] [lib.features.scaled:79] Adaptive sampling: 891 total frames -> 50 frames (10.0%, bounded [5, 50])
2025-12-08 07:34:59 [DEBUG] [lib.features.scaled:79] Adaptive sampling: 887 total frames -> 50 frames (10.0%, bounded [5, 50])
2025-12-08 07:35:07 [DEBUG] [lib.features.scaled:79] Adaptive sampling: 904 total frames -> 50 frames (10.0%, bounded [5, 50])
2025-12-08 07:35:16 [DEBUG] [lib.features.scaled:79] Adaptive sampling: 1573 total frames -> 50 frames (10.0%, bounded [5, 50])
2025-12-08 07:35:24 [INFO] [lib.utils.memory:89] Memory stats (Stage 4: processing video 20/811 (index 19)): {'cpu_memory_mb': 565.203125, 'cpu_memory_gb': 0.5519561767578125, 'cpu_vms_mb': 10568.38671875, 'gpu_allocated_gb': 0.0, 'gpu_reserved_gb': 0.0, 'gpu_total_gb': 16.928342016, 'gpu_free_gb': 16.928342016}
2025-12-08 07:35:24 [DEBUG] [lib.features.scaled:79] Adaptive sampling: 2836 total frames -> 50 frames (10.0%, bounded [5, 50])
2025-12-08 07:35:33 [DEBUG] [lib.features.scaled:79] Adaptive sampling: 2770 total frames -> 50 frames (10.0%, bounded [5, 50])
2025-12-08 07:35:41 [DEBUG] [lib.features.scaled:79] Adaptive sampling: 163 total frames -> 16 frames (10.0%, bounded [5, 50])
2025-12-08 07:35:44 [DEBUG] [lib.features.scaled:79] Adaptive sampling: 3189 total frames -> 50 frames (10.0%, bounded [5, 50])
2025-12-08 07:35:53 [DEBUG] [lib.features.scaled:79] Adaptive sampling: 1510 total frames -> 50 frames (10.0%, bounded [5, 50])
2025-12-08 07:36:01 [DEBUG] [lib.features.scaled:79] Adaptive sampling: 1918 total frames -> 50 frames (10.0%, bounded [5, 50])
